,loss_mean,loss_std,val_loss_mean,val_loss_std,accuracy_mean,accuracy_std,val_accuracy_mean,val_accuracy_std
12,1.0799721240997315,0.015260597269833732,1.1955849170684814,0.1386054587761747,0.622100007534027,0.00530000046840774,0.5868600010871887,0.036742438986744445
13,1.0604995250701905,0.014800191254728813,1.0396780371665955,0.04766043596141492,0.6294559955596923,0.0044440533156894215,0.6347399830818177,0.015855664290389333
14,1.0414721727371217,0.012946964164388135,1.1757686376571654,0.11665644467456081,0.6356679916381835,0.004747409908164819,0.5964400053024292,0.030010102589827226
15,1.025460910797119,0.014331913349559132,1.01809219121933,0.03375256441840396,0.6407080054283142,0.005506333149672856,0.6427999973297119,0.010500105805013708
16,1.0100457429885865,0.013026328589905477,1.0763406991958617,0.07631566021337166,0.6470319986343384,0.0046195244073210335,0.6287999868392944,0.021375969316425023
17,0.9976552486419678,0.012488536250163702,1.1376624822616577,0.14683310058151494,0.6519359946250916,0.003926744887184212,0.6130599856376648,0.03697428623155032
18,0.9813655257225037,0.012663508071693474,1.1233151793479919,0.12019517587873835,0.6574520111083985,0.005179451663100122,0.6133200049400329,0.03675668783806594
19,0.9685274004936218,0.010896336958794606,1.0185018181800842,0.08930014614097324,0.6621400117874146,0.003664864267031147,0.6452799916267395,0.024712387019850693
20,0.9574110269546509,0.010067985361481428,1.0653852224349976,0.06620521773378094,0.6664360046386719,0.0046526079432879,0.635480010509491,0.016151580608201294
21,0.9457511067390442,0.010280280384119274,0.9915841102600098,0.05266623809416513,0.6703199982643128,0.004855599987405486,0.6544800043106079,0.01960555639776737
22,0.9351563811302185,0.010420676787111933,0.9880212903022766,0.0573509376965711,0.6752439975738526,0.003161816945001087,0.6552199959754944,0.01998193903586982
23,0.9257595419883728,0.008850388622924997,0.9765374660491943,0.04983008106913189,0.6786880135536194,0.0030055795370580304,0.6621399998664856,0.0125778423289087
24,0.9162001490592957,0.010332198219561514,1.079394030570984,0.1275763770844581,0.6813120007514953,0.0043047246033071675,0.6310199975967408,0.04121336351806797
25,0.9060742974281311,0.0091703523434381,1.0311724662780761,0.05923379490526426,0.6862280011177063,0.003861241066202665,0.6463200092315674,0.017164317119627816
26,0.8979176044464111,0.008508028328222715,0.9332879781723022,0.061855958466872,0.687883996963501,0.002475699449312634,0.6787200093269348,0.02337319442945302
